id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,925267,2669,512,772,1858,3213.0,1086.75,1.049561858177185,0.9899391531944275,0,0,4032,3024
1,280061,1331,913,302,1022,1449.0,1559.25,1.024644136428833,0.9885905385017395,0,0,4032,3024
2,591221,1059,2508,1297,512,2205.0,2976.75,1.0224374532699585,0.9838739037513733,0,0,4032,3024
3,580098,874,837,472,1476,1197.0,1464.75,1.021417260169983,0.9563387632369995,0,0,4032,3024
4,1853510,0,0,1265,3015,567.0,1086.75,1.0151616334915161,0.9904319047927856,0,0,4032,3024
5,1854210,0,0,3330,3015,567.0,897.75,1.0138282775878906,0.9900875091552734,0,0,4032,3024
6,1097475,3586,0,445,3015,3717.0,897.75,1.011206865310669,0.9915127158164978,0,0,4032,3024
7,599305,1209,1845,1684,517,2205.0,2220.75,1.0111141204833984,0.9820771813392639,0,0,4032,3024
8,189567,1702,941,395,947,2079.0,1275.75,1.0022218227386475,0.9836252331733704,0,0,4032,3024
9,83075,2813,2664,425,359,2961.0,2882.25,1.0018293857574463,0.9814684391021729,0,0,4032,3024
10,63886,2218,105,570,189,2331.0,236.25,1.0014684200286865,0.9877067804336548,0,0,4032,3024
11,251251,1627,843,262,1011,1827.0,1748.25,1.00028657913208,0.9834248423576355,0,0,4032,3024
12,34883,1939,942,107,329,1953.0,992.25,0.9973239898681641,0.9914007186889648,0,0,4032,3024
13,592260,1057,2005,1299,1014,2205.0,2693.25,0.9972440004348755,0.9826192259788513,0,0,4032,3024
14,80046,1860,0,356,292,1953.0,141.75,0.9935078024864197,0.9769821763038635,0,0,4032,3024
15,104039,1696,1965,526,238,1701.0,2031.75,0.9933933019638062,0.9825910329818726,0,0,4032,3024
16,62569,1415,2089,287,275,1449.0,2315.25,0.9922606945037842,0.9820534586906433,0,0,4032,3024
17,37927,3578,2381,89,639,3591.0,2504.25,0.99159836769104,0.982080340385437,0,0,4032,3024
18,599058,1208,1846,1686,1067,1827.0,2031.75,0.9911123514175415,0.9799844026565552,0,0,4032,3024
19,17390,3463,213,137,200,3591.0,330.75,0.9906317591667175,0.9837532639503479,0,0,4032,3024
20,38713,1450,83,233,210,1575.0,141.75,0.9887865781784058,0.9867050051689148,0,0,4032,3024
21,190132,1888,940,210,949,1953.0,1275.75,0.9884647130966187,0.9834059476852417,0,0,4032,3024
22,18118,1654,1735,202,118,1701.0,1748.25,0.9864169955253601,0.983575165271759,0,0,4032,3024
23,5731,3181,580,79,75,3213.0,614.25,0.9847315549850464,0.9942548871040344,0,0,4032,3024
24,55994,2499,2076,257,273,2709.0,2126.25,0.9809697866439819,0.985023558139801,0,0,4032,3024
25,5213,1043,518,112,57,1071.0,519.75,0.9798941612243652,0.9912146925926208,0,0,4032,3024
26,50306,2181,996,68,963,2205.0,1559.25,0.9792703986167908,0.9765984416007996,0,0,4032,3024
27,25641,1149,135,238,158,1197.0,236.25,0.9787306785583496,0.9786848425865173,0,0,4032,3024
28,315886,1769,0,1816,310,2835.0,47.25,0.9781397581100464,0.9762766361236572,0,0,4032,3024
29,28791,1030,51,239,240,1197.0,141.75,0.9773377180099487,0.9735137820243835,0,0,4032,3024
30,132630,1626,1879,593,323,1701.0,2031.75,0.9770087003707886,0.9827180504798889,0,0,4032,3024
31,15796,3474,385,134,159,3591.0,519.75,0.9769930243492126,0.9804511070251465,0,0,4032,3024
32,73633,1371,47,360,246,1449.0,141.75,0.9758478403091431,0.9779528975486755,0,0,4032,3024
33,115036,2381,2533,402,490,2457.0,2882.25,0.975677490234375,0.9765715599060059,0,0,4032,3024
34,204745,614,2308,483,710,693.0,2693.25,0.9753954410552979,0.966212809085846,0,0,4032,3024
35,87544,2629,1026,243,1051,2709.0,1181.25,0.9751334190368652,0.9540770053863525,0,0,4032,3024
36,203788,538,2513,564,505,1071.0,2787.75,0.9747419953346252,0.9646247625350952,0,0,4032,3024
37,115006,2381,2533,843,490,2457.0,2976.75,0.9735996723175049,0.9770702719688416,0,0,4032,3024
38,3457862,488,281,3543,2735,1197.0,2315.25,0.9730453491210938,0.9549066424369812,0,0,4032,3024
39,264263,2214,0,1300,293,2709.0,236.25,0.9730398654937744,0.9834464192390442,0,0,4032,3024
40,40379,2513,2637,269,386,2583.0,2693.25,0.9728527069091797,0.97395259141922,0,0,4032,3024
41,183715,416,261,336,2756,567.0,1181.25,0.9727168083190918,0.9653550982475281,0,0,4032,3024
42,76050,2493,1257,125,744,2583.0,1653.75,0.9726269245147705,0.9778072237968445,0,0,4032,3024
43,103336,2008,2509,352,509,2331.0,2787.75,0.9722583293914795,0.9737513065338135,0,0,4032,3024
44,181431,415,328,224,2690,567.0,614.25,0.9718769192695618,0.9644368886947632,0,0,4032,3024
45,8367,1229,1983,160,80,1323.0,2031.75,0.9717338681221008,0.985182523727417,0,0,4032,3024
46,37239,2526,2109,215,219,2583.0,2126.25,0.9712467193603516,0.977210521697998,0,0,4032,3024
47,54933,2440,936,64,1051,2457.0,1181.25,0.9710171222686768,0.9762623906135559,0,0,4032,3024
48,76780,2579,1236,143,784,2709.0,1937.25,0.9706757068634033,0.9777311682701111,0,0,4032,3024
49,55225,2368,936,136,1051,2457.0,992.25,0.9701285362243652,0.9741320610046387,0,0,4032,3024
50,54150,1033,51,355,241,1323.0,236.25,0.967555046081543,0.9793420433998108,0,0,4032,3024
51,76086,2379,2532,226,491,2457.0,2976.75,0.9672805070877075,0.9756585955619812,0,0,4032,3024
52,8042,2309,2874,70,149,2331.0,2976.75,0.9671912789344788,0.9836045503616333,0,0,4032,3024
53,50058,3336,0,191,314,3465.0,141.75,0.9671093225479126,0.9795051217079163,0,0,4032,3024
54,27330,2680,2679,139,340,2709.0,2787.75,0.9651774168014526,0.9712113738059998,0,0,4032,3024
55,44822,2684,1236,96,801,2709.0,1370.25,0.9648509621620178,0.9701722264289856,0,0,4032,3024
56,32878,3465,215,142,328,3591.0,425.25,0.9644502401351929,0.9820756316184998,0,0,4032,3024
57,147430,1293,0,691,293,1701.0,47.25,0.9631270170211792,0.9643563628196716,0,0,4032,3024
58,40410,1452,2114,223,229,1575.0,2315.25,0.9629491567611694,0.979504406452179,0,0,4032,3024
59,50682,2281,990,69,982,2331.0,1275.75,0.9603030681610107,0.9678547978401184,0,0,4032,3024
60,32969,2207,2056,292,147,2331.0,2126.25,0.9582964181900024,0.9767400026321411,0,0,4032,3024
61,7157,1042,896,107,75,1071.0,897.75,0.9575507640838623,0.9849051237106323,0,0,4032,3024
62,92502,1638,1128,199,484,1701.0,1275.75,0.9572600722312927,0.9621847867965698,0,0,4032,3024
63,6287,1615,1889,129,77,1701.0,1937.25,0.9565223455429077,0.9785894155502319,0,0,4032,3024
64,39043,2491,979,215,277,2583.0,992.25,0.955207347869873,0.9789292216300964,0,0,4032,3024
65,166557,2287,846,216,1140,2331.0,897.75,0.9551831483840942,0.9669442772865295,0,0,4032,3024
66,10906,935,2009,97,120,945.0,2031.75,0.9533225297927856,0.9749751687049866,0,0,4032,3024
